text,tag,lang,emoticon
"Hoy uno de mis tíos falleció por COVID-19, no lo escribo para que me manden sus condolencias ni muchos. Sino, para hacer conciencia y sepan que esto es REAl, que dejen de minimizar lo que está pasando y se den cuenta de la gravedad de todo esto.",mourning,es,0
"Hoy falleció mi abuela. Y eso, sin velorio, sin poder abrazarnos, sin nada. Porfa cumplan la cuarentena, porque desde esta perspectiva todo es muy horrible",mourning,es,0
Muere el primer médico en activo por Covid-19 en Sevilla. Se nos va un gran profesional y mejor persona. Mi más sentido pésame a su familia y un abrazo enorme Joaquin. Te echaremos mucho de https://t.co/RmTnahE1ay sé cómo expresar la tristeza que siento https://t.co/5qelhdN0cm,mourning,es,0
"Historia de una victoria. Historia de los últimos momentos de quienes no la alcazaron, como mi tito Pepe de Alcalá de Henares. Descansad en Paz. Todo nuestro respeto 🙏
 
  https://t.co/mpRj8n0OVv",mourning,es,1
"He visto dos personas a las que les tomé cariño morir a causa del coronavirus en los últimos 9 días, hoy falleció el que más aprecio pudo obtener de mi persona. No tengo palabras",mourning,es,0
Gran tristeza se siente Q.E.P.D. Gran ser humano que se lleva el COVID-19 😭,mourning,es,1
"de 30.600 profesionales sanitarios infectados por el coronavirus. El Consejo General de Colegios Oficiales de Médicos de España (CGCOM) expresa su reconocimiento a su entrega y servicio a los demás y expresa sus condolencias a las familias y compañeros: ""Nunca os olvidaremos""",mourning,es,0
"¡Qué triste! 😔Los hermanos Morales perdieron la batalla contra el #coronavirus y sus familiares solo quieren que descansen en paz en donde siempre lo desearon💔Mira su triste historia 🎥 
 https://t.co/YfRmxf40zM",mourning,es,1
"El día 23 de abril, falleció la actriz de doblaje Kumiko Okae por la pandemia de covid-19, Kumiko era conocida por participar en El Regreso del gato (Película de #StudioGhibli) dando voz a la madre de Haru, también fue la voz de Jenny en pokémon: Lucario y el misterio de mew. 😓 https://t.co/2fFryf1bR9",mourning,es,1
"Panamá tiene 5338 casos de coronavirus, 172 más que ayer, y se reportan 8 nuevas defunciones 😔, para un total de 154 fallecidos QEPD 🙏",mourning,es,1
"📺 En #5RNoticias dialogamos con Joaquín. 
 👉🏽Pudo regresar a su casa desde Neuquén y tuvo un emotivo reencuentro con su papá.
  👉🏽Su mamá falleció en Cutral Co hace unos días.
 
 #COVID19 #coronavirus #cuarentena #QuedateEnCasa @5RTvSF https://t.co/gY7GearkUY",mourning,es,1
Que en paz descanse el primer LISOFON caído en batalla contra el #COVID19. Muchas gracias por los servicios prestados. Que el pulento te tenga en su santo reino ⛪️ #Lisoform #Lisofon #CoronaVirus #PuenteAlto #Chile… https://t.co/wOj9W2aqoL,mourning,es,1
"Por primera vez, me entero de un caso DIRECTO. El papá de mi amiga que residía en Orizaba y era médico, falleció por Covid-19.😔
 
 Me pidió difundirlo, pues quiere que la gente CREA Y SE CUIDE! 
 
 ""De algo me he de morir"" he escuchado a incrédulos. Pero morir sin ver a los tuyos?🏡 https://t.co/sbwgmQ5VyS",mourning,es,1
"Un amiguito mío ya falleció por Covid y cada vez que lo recuerdo me erizo porque no logro asimilarlo, siento mucha rabia, impotencia, tristeza porque él no se lo merecía, nadie y desespero porque aún hayan personas que crean que esto es un chiste.",mourning,es,0
"Falleció por Covid aquí en Cali. Amigo de un amigo muy cercano... era mellizo, ahora el hermano y el papá graves en la clinica...😭💔😭💔😭 QUEDENSE EN LA BENDITA CASA!!!! 🙏🏻🙏🏻🙏🏻🙏🏻 https://t.co/ygYQF6MHvW",mourning,es,1
"Ayer falleció el bombero Luis Páez de COVID-19, quien entrego 55 de sus 70 años de edad a servir a la ciudad de Guayaquil. No lo conocía pero eso no significa que deba ser indiferente ante la gran labor que realizo todos estos años, asi que ¡Gracias! Q.E.P.D",mourning,es,0
"Una persona falleció en #AltoHospicio, el Alcalde Patricio Ferreira lamentó lo sucedido entregando las condolencias a los familiares. Por otro lado se está investigando para determinar si la causa fue por COVID-19 u otra enfermedad. https://t.co/UgJbDpubOd",mourning,es,0
"Sabia que este momento llegaría pero por más que uno se prepare duele demasiado, y lo que más duele es que no pude estar contigo en tus últimos momentos por esta cuarentena. Descansa en paz abuelo, gracias por todo y vuela alto❤️🕊",mourning,es,1
"Ambos se contagiaron de coronavirus. Ella superó el virus pero Rafa, el amor de su vida, perdió la batalla. La cuarentena le negó la oportunidad de despedirse de él antes de que fuera transformado en cenizas.
 
 Esta es la historia ➡️ https://t.co/VeALPv3unK https://t.co/Nvwx9MEWts",mourning,es,1
En EEUU falleció una bebe de 5 meses de covid 😔 cuiden a sus tesoros #ChileVotaDignidad,mourning,es,1
Hombre de 32 años que murió de Coronavirus se despidió de su familia con esta emotiva carta https://t.co/qBs1dVfunZ,mourning,es,0
"Que tengan una linda noche angelitos cuídense mucho 🙏🏻
 #CuarentenaObligatoriaYa #YoMeQuedoEnCasa #COVID #abrazosvirtuales https://t.co/kn3XcOHGEW",mourning,es,1
"Después de que su esposo murió de coronavirus, ella encontró una nota de despedida emotiva en su teléfono https://t.co/ZHFFtmGdDU https://t.co/MgMVw34Ffq",mourning,es,0
"Hora 23y30.. recién falleció una señora por covid..mayor de edad ella..90 años..(lo viví de cerca).
 Ese bichito se viene a todo galope..cumpliendo su cometido..",mourning,es,0
"Falleció una persona de mi trabajo por coronavirus. Me siento muy triste, a pesar de que no lo traté mucho. Era buen trabajador y responsable. QEPD. 
 
 Por favor no salgan si no es para algo indispensable. Se siente muy feo ésto 😪",mourning,es,1
"Hoy conversé con mi amiga (el papá falleció de covid-19) y se me salían las lagrimas cuando me contaba todo, ella vive a una casa de la mía y me duele mucho no poder abrazarla.",mourning,es,0
"Fallecio mi madrina y la pude ver sólo una hora y ustedes no respetan la cuarentena, que bronca",mourning,es,0
Uno de mis maestros favoritos falleció gracias al COVID-19. Still in shock.. :/,mourning,es,0
"Estoy impactado con la noticia. ¿No fue atendido en un hospital, necesitaba ventilación mecánica? QEPD Christian.
 
 Encuentran muerto en su departamento por COVID-19 a famoso productor radial Christian Aravena Lepe. https://t.co/VDcPoKbqOs vía @ElUniversalCL",mourning,es,0
Sentí feo hoy. Ayer falleció el papá de un amigo por Covid aquí en tepe y en lo único que pude ayudarle fue darle palabras de aliento.,mourning,es,0
Me acabo de enterar que uno de los maestros con los que trabajo falleció hoy por covid-19 y se me apachurro el corazón 🥺. Neta me hierve la sangre de seguir viendo historias de gente que sigue saliendo de peda o anda x la vida como si nada. QUEDENSE EN SU PINCHE CASA 😡😡,mourning,es,1
Me acaban de avisar que uno de los maestros con los que trabajo falleció hoy por covid-19 y se me apachurro el corazón 🥺. Neta me hierve la sangre seguir viendo historias de gente que sigue saliendo de peda o anda x la vida como si nada pasara. QUEDENSE EN SU PINCHE CASA 😡😡,mourning,es,1
"Bueno no digan que no lo dije .....
 Mis condolencias a los familiares 
 
 Coronavirus en la Argentina | Murió el primer médico en la provincia de Buenos Aires https://t.co/LaS3vV3SUN",mourning,es,0
"Que lamentable viacrucis vivió, descanse en paz señor Noé.
 
 https://t.co/nv6ZGd6U9z",mourning,es,0
extraño a mi mamá y me acabo de enterar que tuvo contacto con el paciente que murió de covid y no puede salir de su casa y solo me hizo extrañarla más y querer abrazarla.,mourning,es,0
Descansen en paz todos los fallecidos por el coronavirus #LutoNacional,mourning,es,0
"Juanjo, guía canino de 54 años, fallece en Madrid a causa del COVID-19 D.E.P. DESDE GALICIA NUESTROMAS SENTIDO PESAME A LA FAMILIA COMPAÑER@S Y AMIG@S , R.I.P. Juanjo - https://t.co/JW4JzXPgcH vía @h50digital",mourning,es,0
"Se confirmaron 29 casos más de Coronavirus en el país, ascendiendo la cifra total a 591 (478 activos). Además, se informó la recuperación de 8 pacientes más y el fallecimiento de 8 pacientes más, por lo cual enviamos condolencias a las familias. A contin… https://t.co/qm2YCgcGyr https://t.co/P9XOYC1LIh",mourning,es,0
"Ayer fue mi cumpleaños y no fue nada feliz. La maravillosa madre de mi novio falleció antes de ayer a causa del covid. Mi novio tiene el corazón destrozado y yo igual.
 Cuidense mucho, la vida es muy injusta.
 Ayer esperé la llamada de doña María y no llego... https://t.co/sCTMLNmDNu",mourning,es,0
Leyendo Fallece primer mando de la SSC por Covid-19 en https://t.co/J1U2X0fxEI vía @Excelsior cuánto lo siento me ayudo en una ocasión muy decente a sus fams mi pésame @BJAlcaldia,mourning,es,0
"Hemos recibido la noticia del fallecimiento de Jordi Solé Fortuny, socio del @cbhospitalet desde hace muchos años, víctima del Covid-19 y una persona querida. 
 
 Nuestras condolencias a familiares, amigos, DEP.",mourning,es,0
"Mis condolencias para PP y VOX. Cada día hay menos muertos e infectados por coronavirus, una pena sabiendo que ellos celebran cada muerto para poder utilizarlo contra el gobierno. Este país es un fracaso total. Vivimos en un permanente gerracivilismo. #OposicionMiserable",mourning,es,0
"Triste noticia! a los 71 años falleció este fin de semana Dave Greenfield, tecladista de The Stranglers debido a complicaciones derivadas del Covid 19. 🎹🇬🇧💐 https://t.co/UyEp8hIQDZ",mourning,es,1
"!Fallecio Jorginho🇧🇷, era masajista de Flamengo🇧🇷, el empleado mas antiguo del club, a causa del coronavirus🦠!. Q.E.P.D🙏❤
 
 https://t.co/fY1NVwfkcw",mourning,es,1
"Anoche un ex compañero de la Guardia Nacional Aerea de PR perdio la batalla del COVID-19. Veterano, el primero en fallecer en dicho hospital. QDEP Colombiano.",mourning,es,0
"Desgraciadamente ya falleció por covid una persona muy allegada a la familia 
 
 #QuedateEnCasa",mourning,es,0
"Cuarentena día 273828
 Hacia días no lloraba. Hoy falleció la mascota de mi familia. 
 Ya fue todo 💔",mourning,es,1
Joven que rompió cuarentena y contagió a su abuelo que falleció por COVID arriesga hasta cinco años de prisión - Coronavirus - 24horas https://t.co/2FJORfYUzt,mourning,es,0
"""...Amé, fui amado, el sol acarició mi faz. ¡Vida, nada me debes! ¡Vida, estamos en paz! ""Al coronavirus no lo vence el país más avanzado, sino el pueblo más disciplinado.” #YoUsoMascarilla #QuédateEnCasaAyúdanos #JuntosSaldremosAdelante #SoyMédico #YoMeQuedoEnMiCasa https://t.co/2AsYlqeceH",mourning,es,0
"Donde voy a sacar carton corrugado? En plena cuarentena, ven que no puedo hacer una sorpresa en paz",mourning,es,0
Murió de #COVID19mx el líder que amenazó con quemar el hospital de #Axochiapan https://t.co/ngmkFLI46M,mourning,es,0
Sigo con dolor de garganta y los pensamientos acerca del coronavirus no me dejan en paz y seguramente las taquicardias son por eso...,mourning,es,0
"Lamentablemente hoy tenemos fallecimiento en Sonora por COVID-19. #EnVivo
 
 Mi más sentido pésame a sus familias. 
 
 Por favor #QuédateEnCasa 
 
 https://t.co/8tzTCkGbEj",mourning,es,0
"Hoy mataron a otro chamo que salió a protestar por sus derechos. Llevamos 20 años en cuarentena con un narco-estado. Que impotencia. 
 
 Descansa en paz, Rafael 🙏",mourning,es,1
"Trago amargo esta noche. Un familiar (político) murió por coronavirus, era de los que no creían, entró al hospital ayer y hoy falleció. Su familia sólo atina a decir que “Dios sabe porqué se lo llevó”, y entre ellos se echan ánimos (aludiendo a la Biblia -cosa que no critico)...",mourning,es,0
"Descansa en Paz mi tío 
 El famoso Doc Aguilucho...
 Maldito Covid nos quitas todo
 #ClubAmerica #Americanista #Azulcrema #MiTio #EternosAzulcremas @EternoAzulcrema #covid19… https://t.co/YNTVg84j3Z",mourning,es,0
"Ese momento donde recibes el golpe duro de saber que un amigo de años falleció por el COVID-19
 
 :( facebook había logrado mantener nuestra amistad porque el tiempo nos separo.",mourning,es,0
Ayer falleció un conocido por Covid-19 .. que loco todo,mourning,es,0
"Falleció el papá de una amiga por Covid y no puedo dejar de llorar porque me doy cuenta que pasaron 10 años desde que me arrebataron a mi papá y aún no logro cerrar ese duelo , nunca pude decirle adiós , no quiero olvidarme de como eres, tú voz, tus llamadas, todo lo que eres🥺💔",mourning,es,1
"Me acaban de dar la noticia que el papá de unos amigos falleció por el “COVID-19”.
 De verdad que estoy en shock, sigo sin poder creerlo.😭",mourning,es,1
"Descanse en paz. Otra consecuencia de la mala gestión
 https://t.co/UgE22QrZi3",mourning,es,0
"El coronavirus no me puede matar, porq yo mori el día que mi primo falleció",mourning,es,0
"Por los 25.613 fallecidos por el COVID-19 en España y en el resto del mundo
 DESCANSEN EN PAZ
 #PorLosFallecidosDelCOVID19 https://t.co/GfVxr6aqMs",mourning,es,0
"⚫185 fallecidos a día de hoy #5Mayo por #COVIDー19 como siempre mi más sentido pésame a las familias porque detrás de esos números son personas ,familias rotas .Un abrazo",mourning,es,1
"España Coronavirus 04/05/20 
 25.613 Personas Fallecidas
 Siguen aumentando las personas que no están. 
 No son un número, son personas.
 Mis más sinceras condolencias a sus familiares
 🖤🖤🖤 https://t.co/PVmrAr1QDm",mourning,es,1
".@AstridPerezBat comienza la Diputación Permanente @parcan enviando las condolencias de @PPparcan a los familiares de las 142 personas fallecidas por #COVIDー19 en Canarias y ofrece apoyo a #gobcan ante esta situación ""que no hay que confundir con silencio cómplice"". https://t.co/RGC7rB7diV",mourning,es,0
"Todo nuestro apoyo, nuestro ánimo y nuestro pésame. 
 
 Un matrimonio de farmacéuticos de San Nicasio, fallecido con COVID con días de diferencia. 
 
 https://t.co/297PUVJ4ch",mourning,es,0
"Parece mentira que este personaje, colocada a dedo, haya sufrido el covid, y realice este comentario. Mi pésame a los muertos por accidente de tráfico.",mourning,es,0
Campaña #LutoNacional en Twitter todos los días a las 12:00 en recuerdo de los fallecidos por #coronavirus https://t.co/CQes6WHJyy,mourning,es,0
"El esposo de la compañera de mi mamá del trabajo (e.e) le diagnosticaron covid-19 el lunes, el día viernes falleció, mi mami llegó súper triste por su compañera y yo también me puse triste, neta no me imagino el dolor",mourning,es,0
"LA FEDERACIÓN DE ENFERMERAS DEL MINISTERIO DE SALUD DEL PERÚ_FEDEMINSAP

Lamenta el sensible fallecimiento de nuestra colega  Melissa Hashanga Marichin quien falleció debido al COVID-19, expresamos nuestras condolencias a sus familiares y amigos. https://t.co/PccGO2zMHT",mourning,es,0
"#Recomendado en #TwitSpain: @MartinSotelo: 'Nuestro pésame y nuestras oraciones, también, por todos los fallecidos por el #coronavirus y por sus familias, con el deseo de que esta tragedia finalice pronto y podamos todo… https://t.co/qfHHNlBZVK, see more https://t.co/Jkw277H0yn",mourning,es,0
#Tendencias | ¡Luto en Disney! Muere creadora de La sirenita y El rey león por coronavirus 🧜‍♀️🦁.- #LaSopaPuntoCom https://t.co/VLJlWRnKSt -#,mourning,es,1
".
Si hubiera fallecido algún perro por el coronavirus, ya tendríamos el luto nacional y las dimisiones en el gobierno.

Un sentido recuerdo para Excalibur

https://t.co/UQ8mAxuf4t",mourning,es,0
"Me he tomado tres horas en explicarle a la niña más grande de mi familia (mi bisabuela, de 94 años) sobre el coronavirus y su gravedad. Ella aún no sabe que su hermano falleció por ese motivo y hoy cumple un mes de su partida. Al despedirnos me dijo “no salgas de casa”.",mourning,es,0
"Quiero transmitir mi pésame a la familia, amigos y compañeros de José Agapito Montero Mozos, enfermero en Puertollano. 
Hoy nos ha dejado tras días de lucha contra el virus.

DEP

https://t.co/U94XQO9w78",mourning,es,0
"El estandarte corporativo de la Hermandad de la Macarena de Sevilla, luce un lazo negro en señal de luto, por todas las personas fallecidas por Coronavirus.

Rogamos a Dios por sus almas y por el consuelo sus familiares.

@Hdad_Macarena https://t.co/RCLzzv86oM",mourning,es,0
Buenas tardes. Les informo que falleció alguien muy cercano por coronavirus. El mal si existe. El viernes se empezó a sentir mal y acaba de fallecer.,mourning,es,0
".@SATSE_CLM lamenta profundamente el fallecimiento del enfermero Jose Agapito Montero, víctima del Covid-19, compañero del centro de salud 3 de Puertollano y quiere manifestar sus condolencias a la familia y agradecer su profesionalidad y entrega. https://t.co/SiyFT0Ee84",mourning,es,0
"#BuenDomingo | #OllaPopularDesdeCasa |  En el Hogar de El Ángel Azul se están organizando para cocinar y repartir viandas a 30 familias durante la #Cuarentena 🥣| En #CodoACodo, Hernán Améndola contó cómo se puede colaborar con la iniciativa👉🏻 https://t.co/fuz2RTMX7i https://t.co/kS6cuq5ahv",mourning,es,1
"LUTO | Este domingo, 26 de abril, rendiremos homenaje a las víctimas del COVID-19, a las 19:57 horas, tres minutos de silencio.
https://t.co/4ElcffTzET",mourning,es,0
"Mi hermana está bien triste, ayer falleció un amigo de ella con covid-19 :(",mourning,es,0
"Tres minutos silencio, luto oficial #andalucia por las víctimas del #coronavirus. https://t.co/sHAecB2UsW",mourning,es,0
Pedimos al Gobierno de España que DECRETE LUTO NACIONAL INDEFINIDO YA por los fallecidos por el coronavirus - ¡Firma la petición! https://t.co/0OzAfyXf2C vía @change_es,mourning,es,0
